Chain	Strand #	Length()
A	0	21.822006225585938
A	1	16.500991821289062
A	2	16.656997680664062
A	3	27.27899169921875
A	4	24.228004455566406
A	5	24.548995971679688
A	6	21.287994384765625
A	7	44.6300048828125
A	8	33.972007751464844
A	9	40.24200439453125
A	10	27.75200653076172
A	11	35.21400451660156
A	12	37.253997802734375
A	13	44.29399871826172
A	14	52.16700744628906
A	15	59.279998779296875
A	16	48.542999267578125
A	17	36.314002990722656
A	18	38.15599822998047
A	19	38.480003356933594
A	20	31.91100311279297
A	21	27.13800048828125
