Chain	Strand #	Length()
A	0	27.493000030517578
A	1	33.10600280761719
A	2	41.13399887084961
A	3	47.685997009277344
A	4	41.961997985839844
A	5	40.902000427246094
A	6	37.62099838256836
A	7	31.891000747680664
A	8	28.16699981689453
A	9	22.211999893188477
A	10	8.278999328613281
A	11	8.437000274658203
A	12	4.21299934387207
A	13	3.190999984741211
A	14	9.125
A	15	9.499998092651367
A	16	6.681999206542969
A	17	6.540000915527344
A	18	2.1329994201660156
A	19	13.163997650146484
A	20	11.675003051757812
A	21	21.380996704101562
