Chain	Strand #	Length()
A	0	25.5732421875
A	1	28.16584014892578
A	2	30.546527862548828
A	3	37.06526184082031
A	4	19.081539154052734
A	5	20.146854400634766
A	6	16.076156616210938
A	7	19.019176483154297
A	8	18.835819244384766
A	9	21.447830200195312
A	10	27.431785583496094
A	11	27.876209259033203
A	12	25.868610382080078
A	13	24.55648422241211
A	14	24.75664520263672
A	15	24.572547912597656
A	16	20.843368530273438
A	17	20.49151611328125
A	18	21.381484985351562
A	19	19.93893051147461
A	20	18.379196166992188
A	21	16.867374420166016
A	22	16.29450225830078
A	23	17.951622009277344
