Chain	Strand #	Length()
A	0	0.7160000801086426
A	1	8.88800048828125
A	2	15.485000610351562
A	3	19.23699951171875
A	4	11.005000114440918
A	5	18.089000701904297
A	6	14.573999404907227
A	7	11.815999984741211
A	8	16.804000854492188
A	9	15.857000350952148
A	10	16.049999237060547
A	11	11.573001861572266
A	12	5.574001312255859
A	13	30.50899887084961
A	14	10.726999282836914
A	15	34.77799987792969
A	16	34.731998443603516
A	17	20.553998947143555
A	18	28.44300079345703
A	19	30.951000213623047
A	20	21.464000701904297
A	21	18.548999786376953
A	22	23.086999893188477
A	23	13.644001007080078
A	24	11.262999534606934
A	25	7.974999904632568
