Chain	Strand #	Length()
A	0	5.222999572753906
A	1	1.7699966430664062
A	2	0.5889968872070312
A	3	0.32399749755859375
A	4	6.2760009765625
A	5	11.820999145507812
A	6	21.46500015258789
A	7	29.68000030517578
A	8	37.801002502441406
A	9	0.6280021667480469
A	10	31.091999053955078
A	11	9.62099838256836
A	12	23.062999725341797
A	13	17.954998016357422
A	14	7.385002136230469
A	15	6.454998016357422
A	16	14.923999786376953
A	17	14.409000396728516
A	18	17.145000457763672
A	19	18.865001678466797
A	20	11.825996398925781
A	21	6.635002136230469
