PDB		Total Strands	Length	AvgLength	MinLength	MaxLength	Radius	Barrel Tilt
1A0S	18	26.580112	26.55722188949585	12.026000022888184	35.847999572753906	0	42.40883522224301	0	-999
1AF6	18	27.397322	27.24038971794976	10.174003601074219	35.62200164794922	0	41.8549546924639	0	-999
1P4T	6	35.98923	35.569000244140625	31.358001708984375	41.090999603271484	0	46.400378746005806	0	-999
1PRN	11	22.83572	22.47254579717463	14.204999923706055	27.98699951171875	0	40.02628588335486	0	-999
1QD5	12	22.11065	13.306750297546387	0.5519981384277344	38.20800018310547	0	45.98005134067404	0	-999
1QJ8	8	37.416897	33.376874685287476	19.402999877929688	47.15199661254883	0	34.50040343784366	0	-999
1T16	14	43.096203	19.966427121843612	1.8570022583007812	40.742000579833984	0	37.28967913549924	0	-999
1TLY	12	24.535643	17.21150028705597	4.874000072479248	35.62300109863281	0	46.65083032084029	0	-999
1UYN	12	37.368973	37.28966395060221	25.63800048828125	47.657989501953125	0	40.487923793784155	0	-999
1XKW	22	34.960102	26.67368238622492	10.930000305175781	54.186004638671875	0	40.439693540419306	0	-999
2F1V	8	28.72019	17.083000659942627	3.2470016479492188	38.85600280761719	0	43.459950964706856	0	-999
2FGR	16	26.526913	26.49712508916855	10.027000427246094	38.891998291015625	0	40.705572093960114	0	-999
2LHF	8	21.84197	10.69912514090538	1.059000015258789	20.130001068115234	0	42.92071876215921	0	-999
2MAF	8	20.50173	20.450001001358032	15.10000228881836	27.670001983642578	0	40.68022298314875	0	-999
2POR	16	24.879316	24.874187409877777	13.319000244140625	36.79399871826172	0	41.34187795185274	0	-999
2WJR	12	25.23268	24.54016637802124	18.64099884033203	29.68699836730957	0	39.922121267388334	0	-999
2X55	10	44.018875	14.724699878692627	3.4790000915527344	30.53999900817871	0	43.23046469789393	0	-999
2X9K	14	30.524008	19.648071697780065	2.5249996185302734	37.645999908447266	0	40.837374446314065	0	-999
3AEH	12	37.5904	37.38708337148031	25.648998260498047	51.09400177001953	0	40.69298592780271	0	-999
3BRY	12	37.4203	36.77624988555908	21.684001922607422	54.93300247192383	0	38.984783335630844	0	-999
3BS0	4	51.062645	50.63749885559082	43.709999084472656	56.57599639892578	0	45.05662660166962	0	-999
3CSL	22	33.09788	32.23877230557528	17.738998413085938	52.63700866699219	0	39.31156750791066	0	-999
3DWO	14	43.374477	14.844643047877721	1.8090019226074219	29.566999435424805	0	37.93502906640233	0	-999
3EFM	14	38.00357	16.08235720225743	1.0450000762939453	31.906997680664062	0	31.62318074428315	0	-999
3EMN	19	22.388346	13.253105238864297	1.7849998474121094	31.299999237060547	0	38.948222400236034	0	-999
3FHH	22	38.737118	20.749726815657183	2.1329994201660156	47.685997009277344	0	40.536160990704886	0	-999
3FID	12	29.65979	27.57450024286906	17.704999923706055	39.24800109863281	0	41.441344577193696	0	-999
3GP6	8	24.044508	21.594249963760376	12.768001556396484	28.187999725341797	0	44.40953258109353	0	-999
3KVN	12	38.66778	38.53616682688395	26.06199836730957	54.86499786376953	0	40.18945495792226	0	-999
3OHN	24	25.324646	13.290499687194824	0.4310016632080078	25.236995697021484	0	40.828527406675825	0	-999
3QLB	22	35.467724	18.95359082655473	0.033000946044921875	48.76499938964844	0	39.91381784275688	0	-999
3QQ2	12	41.32569	41.19908316930135	26.135000228881836	61.14299774169922	0	40.20946102890368	0	-999
3QRA	8	35.776703	13.974125146865845	0.3640003204345703	28.373001098632812	0	34.54934424582083	0	-999
3SY9	3	13.673138	24.87833372751872	9.265000343322754	36.32500076293945	0	61.459254357512606	0	-999
3SYB	13	22.933727	14.978230769817646	2.1599998474121094	22.16899871826172	0	38.386729459039366	0	-999
3SYS	18	26.193102	12.598333146837023	0.6369991302490234	22.166000366210938	0	43.46964818748163	0	-999
3T0S	18	26.661911	13.137000295850966	0.1830005645751953	25.913999557495117	0	43.512516095610415	0	-999
4AFK	18	28.390316	28.071332931518555	10.735000610351562	49.87799835205078	0	44.18023346886828	0	-999
4AIP	16	32.71454	20.694187700748444	2.1730003356933594	47.45100021362305	0	40.77891051678308	0	-999
4C00	16	27.932041	16.033625073730946	1.9550000429153442	30.802000045776367	0	44.356872782884324	0	-999
4CU4	18	33.385174	17.83561107847426	0.4219989776611328	49.00300216674805	0	41.14653011913431	0	-999
4D5B	14	41.223312	41.02407264709473	34.853004455566406	49.34300231933594	0	39.99667468361978	0	-999
4E1S	12	26.21287	11.521333257357279	2.4049997329711914	19.115999221801758	0	40.93743445618255	0	-999
4E1T	12	28.783524	13.60324994723002	1.7750005722045898	21.216999053955078	0	42.01874921502331	0	-999
4EPA	22	33.449085	33.42708969116211	16.0989990234375	60.08000183105469	0	39.28192233279748	0	-999
