PDB,mutated_pdb,mutated_conflicts,conflicted_pdb,all_conflicts
5FOK,False,,True,EXPRESSIONTAG
4FSP,False,,True,EXPRESSIONTAG
5FQ6,False,,False,
3PGR,True,ENGINEEREDMUTATION,True,"ENGINEEREDMUTATION, EXPRESSIONTAG"
5MDQ,False,,False,
2W76,True,CONFLICT,True,CONFLICT
2VDF,True,CONFLICT,True,CONFLICT
1MPQ,False,,False,
6U3T,True,CONFLICT,True,CONFLICT
3DZM,True,INSERTION,True,INSERTION
6DLW,False,,False,
3SZD,False,,True,EXPRESSIONTAG
2LHF,False,,True,EXPRESSIONTAG
1BXW,True,ENGINEEREDMUTATION,True,"SEEREMARK999, ENGINEEREDMUTATION"
6RHV,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
6ENE,False,,False,
1PRN,False,,False,
2W75,False,,False,
2N6L,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
3T0S,False,,True,EXPRESSIONTAG
1FW3,False,,True,"N-TERMINALEXTENSION, MODIFIEDRESIDUE"
6JNF,False,,True,EXPRESSIONTAG
5M9B,False,,True,EXPRESSIONTAG
3Q6B,False,,True,EXPRESSIONTAG
1OPF,False,,False,
6RCK,False,,True,EXPRESSIONTAG
5FP2,False,,True,EXPRESSIONTAG
3M8B,False,,False,
6UWR,False,,False,
4B61,False,,False,
6I2J,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
6EHD,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
4ZGV,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
6BPO,False,,False,
1P4T,False,,False,
5ZDH,False,,False,
1QJ8,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
2R4O,True,"ENGINEERED, CONFLICT",True,"ENGINEERED, CONFLICT, EXPRESSIONTAG"
6UCU,False,,True,EXPRESSIONTAG
3J9C,False,,False,
6AIT,False,,True,SEESEQUENCEDETAILS
3M4E,True,ENGINEERED,True,ENGINEERED
6QGW,True,CONFLICT,True,"INITIATINGMETHIONINE, EXPRESSIONTAG, CONFLICT"
2O5P,False,,False,
5LDV,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
6ODJ,False,,False,
1LKF,False,,False,
3UU2,False,,False,
3W9T,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
2MAF,False,,False,
5LJO,False,,False,
3A2U,False,,False,
2J4U,True,CONFLICT,True,CONFLICT
3SYB,False,,True,EXPRESSIONTAG
6U49,False,,False,
2JMM,False,,False,
1TLY,False,,True,EXPRESSIONTAG
3O0E,False,,False,
3POX,False,,False,
6SLJ,False,,True,EXPRESSIONTAG
5AZO,False,,True,EXPRESSIONTAG
6HCG,False,,False,
3D5K,False,,True,EXPRESSIONTAG
2F1V,False,,True,EXPRESSIONTAG
6G6U,False,,True,EXPRESSIONTAG
4AIQ,False,,True,"EXPRESSIONTAG, VARIANT"
2F1C,False,,True,EXPRESSIONTAG
3ANZ,False,,True,EXPRESSIONTAG
4MT0,False,,False,
6S3R,False,,True,EXPRESSIONTAG
3V89,False,,True,"EXPRESSIONTAG, VARIANT"
3SLO,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
6TIR,False,,True,EXPRESSIONTAG
1ILZ,False,,True,N-TERMINALEXTENSION
5G26,False,,False,
6OKR,True,CONFLICT,True,CONFLICT
1NQE,False,,False,
5MDP,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
2WJQ,False,,False,
5MWV,False,,True,INITIATINGMETHIONINE
3T20,False,,True,EXPRESSIONTAG
6SML,False,,False,
2PRN,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
2V9H,False,,False,
2M06,False,,False,
6FOK,False,,False,
4D5B,False,,True,EXPRESSIONTAG
3Q5M,False,,True,EXPRESSIONTAG
1FCP,True,INSERTION,True,INSERTION
3WI4,False,,True,INITIATINGMETHIONINE
2ZLD,False,,False,
6QGX,True,ENGINEEREDMUTATION,True,"INITIATINGMETHIONINE, EXPRESSIONTAG, ENGINEEREDMUTATION"
1MPR,False,,False,
6BPN,False,,False,
3K19,False,,False,
3SYS,False,,True,EXPRESSIONTAG
1QFF,False,,True,INTRACHAINHISTAG
6LQH,False,,True,EXPRESSIONTAG
6GIE,False,,True,EXPRESSIONTAG
6DUZ,False,,False,
2IWV,False,,False,
4RJW,False,,True,EXPRESSIONTAG
6QAM,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
3QQ2,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
2N2M,False,,False,
6Q15,False,,False,
2QK7,True,ENGINEERED,True,"EXPRESSIONTAG, ENGINEERED, SEEREMARK999"
4E1T,True,ENGINEEREDMUTATION,True,"INITIATINGMETHIONINE, ENGINEEREDMUTATION"
2Y2X,False,,False,
2KM7,True,ENGINEERED,True,"ENGINEERED, EXPRESSIONTAG"
1MAL,False,,False,
6I96,False,,False,
5FMW,False,,False,
4QL0,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
5IV8,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
2X55,False,,True,EXPRESSIONTAG
6BPM,False,,False,
5NC3,False,,True,EXPRESSIONTAG
4N4R,False,,False,
5MDR,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
2W6T,False,,False,
5TCQ,False,,False,
3M2L,True,ENGINEERED,True,"INITIATINGMETHIONINE, ENGINEERED"
4D64,False,,False,
4CU4,False,,True,EXPRESSIONTAG
1T16,False,,True,EXPRESSIONTAG
2W6U,False,,False,
1MM4,False,,True,EXPRESSIONTAG
2GRX,False,,True,SEEREMARK999
4I0N,False,,False,
6H3I,False,,False,
2R8A,True,"DELETION, CONFLICT",True,"DELETION, CONFLICT, EXPRESSIONTAG"
1PO0,False,,False,
5NUO,False,,False,
3EMO,False,,False,
6SI7,False,,True,EXPRESSIONTAG
4K7K,False,,True,EXPRESSIONTAG
5EFR,False,,True,"EXPRESSIONTAG, LINKER"
2GR7,False,,True,CLONINGARTIFACT
5JZT,False,,False,
6I2L,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
3NSJ,True,ENGINEEREDMUTATION,True,"ENGINEEREDMUTATION, EXPRESSIONTAG"
4N75,False,,True,EXPRESSIONTAG
1OH2,True,"CONFLICT, ENGINEEREDMUTATION",True,"CONFLICT, ENGINEEREDMUTATION"
2XE2,False,,False,
5D0Q,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
4FUV,False,,True,EXPRESSIONTAG
3C0M,True,ENGINEERED,True,ENGINEERED
5K59,False,,True,EXPRESSIONTAG
1CWV,False,,False,
1I78,True,ENGINEERED,True,ENGINEERED
2QTK,False,,False,
2GE4,True,ENGINEERED,True,"INITIATINGMETHIONINE, ENGINEERED"
4MT4,False,,True,EXPRESSIONTAG
5NXR,False,,False,
5DL7,False,,True,EXPRESSIONTAG
1BY5,True,CONFLICT,True,CONFLICT
5GAQ,False,,True,EXPRESSIONTAG
3SY9,False,,True,"SEEREMARK999, EXPRESSIONTAG"
3PGU,True,ENGINEEREDMUTATION,True,"ENGINEEREDMUTATION, EXPRESSIONTAG"
3BS0,False,,True,"VARIANT, EXPRESSIONTAG"
6L7C,False,,False,
6PSN,False,,False,
5ONU,False,,True,EXPRESSIONTAG
1GFO,True,ENGINEERED,True,ENGINEERED
6CB8,False,,True,EXPRESSIONTAG
2X56,False,,False,
3SLT,True,ENGINEEREDMUTATION,True,"EXPRESSIONTAG, ENGINEEREDMUTATION"
3RBH,False,,True,EXPRESSIONTAG
1MPF,True,CONFLICT,True,CONFLICT
6KLW,False,,True,EXPRESSIONTAG
1MPN,False,,False,
2QOM,False,,True,EXPRESSIONTAG
6R1F,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
4AZL,False,,False,
2IWW,False,,False,
4CTD,True,"ENGINEEREDMUTATION, DELETION",True,"ENGINEEREDMUTATION, DELETION, EXPRESSIONTAG"
1XEZ,False,,False,
2R4P,True,"ENGINEERED, CONFLICT",True,"ENGINEERED, CONFLICT, EXPRESSIONTAG"
3DWN,True,ENGINEERED,True,"ENGINEERED, EXPRESSIONTAG"
5FQ7,False,,False,
4RDT,False,,True,EXPRESSIONTAG
6QWR,False,,True,"INITIATINGMETHIONINE, EXPRESSIONTAG"
1IM0,False,,True,N-TERMINALEXTENSION
5TCR,False,,False,
2WJR,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
4RVW,False,,True,EXPRESSIONTAG
6EHF,True,ENGINEEREDMUTATION,True,ENGINEEREDMUTATION
5O79,True,CONFLICT,True,CONFLICT
5OR1,False,,False,
3PRW,False,,True,EXPRESSIONTAG
5W68,False,,False,
5T4Y,False,,True,EXPRESSIONTAG
5C58,True,ENGINEEREDMUTATION,True,"ENGINEEREDMUTATION, INITIATINGMETHIONINE, EXPRESSIONTAG"
4FMS,False,,False,
5LGO,False,,False,
1H6S,False,,False,
1HXU,True,ENGINEERED,True,ENGINEERED
6U33,False,,False,
1NQG,False,,False,
3OG5,False,,True,EXPRESSIONTAG
1ILD,True,ENGINEERED,True,"N-TERMINALEXTENSION, ENGINEERED"
4MKO,False,,False,
4D5D,False,,True,EXPRESSIONTAG
5T3R,False,,True,EXPRESSIONTAG
4NHR,False,,True,EXPRESSIONTAG
5NEC,True,CONFLICT,True,"EXPRESSIONTAG, CONFLICT"
3FID,False,,False,
3SNS,False,,False,
